agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Daily_Recovered,Date
20-29,Female,0,0,0,0,0,1/25/2020
20-29,Male,0,0,0,0,0,1/25/2020
20-29,Female,0,0,0,0,0,1/26/2020
20-29,Male,0,0,0,0,0,1/26/2020
20-29,Female,0,0,0,0,0,1/27/2020
20-29,Male,0,0,0,0,0,1/27/2020
20-29,Female,0,0,0,0,0,1/28/2020
20-29,Male,0,0,0,0,0,1/28/2020
20-29,Female,0,0,0,0,0,1/29/2020
20-29,Male,0,0,0,0,0,1/29/2020
20-29,Female,0,0,0,0,0,1/30/2020
20-29,Male,0,0,0,0,0,1/30/2020
20-29,Female,1,0,1,1,,1/31/2020
20-29,Male,0,0,0,0,0,1/31/2020
20-29,Female,,0,1,,,2/1/2020
20-29,Male,0,0,0,0,0,2/1/2020
20-29,Female,,0,1,,,2/2/2020
20-29,Male,0,0,0,0,0,2/2/2020
20-29,Female,,0,1,,,2/3/2020
20-29,Male,0,0,0,0,0,2/3/2020
20-29,Female,,0,1,,,2/4/2020
20-29,Male,0,0,0,0,0,2/4/2020
20-29,Female,,0,1,,,2/5/2020
20-29,Male,0,0,0,0,0,2/5/2020
20-29,Female,,0,1,,,2/6/2020
20-29,Male,0,0,0,0,0,2/6/2020
20-29,Female,,0,1,,,2/7/2020
20-29,Male,0,0,0,0,0,2/7/2020
20-29,Female,,0,1,,,2/8/2020
20-29,Male,0,0,0,0,0,2/8/2020
20-29,Female,,0,1,,,2/9/2020
20-29,Male,0,0,0,0,0,2/9/2020
20-29,Female,,0,1,,,2/10/2020
20-29,Male,0,0,0,0,0,2/10/2020
20-29,Female,,0,1,,,2/11/2020
20-29,Male,0,0,0,0,0,2/11/2020
20-29,Female,,0,1,,,2/12/2020
20-29,Male,0,0,0,0,0,2/12/2020
20-29,Female,,0,1,,,2/13/2020
20-29,Male,0,0,0,0,0,2/13/2020
20-29,Female,,0,1,,,2/14/2020
20-29,Male,0,0,0,0,0,2/14/2020
20-29,Female,,0,1,,,2/15/2020
20-29,Male,0,0,0,0,0,2/15/2020
20-29,Female,,0,1,,,2/16/2020
20-29,Male,0,0,0,0,0,2/16/2020
20-29,Female,,0,1,,,2/17/2020
