Date,10-19
2022-01-01,705
2022-01-02,828
2022-01-03,1470
2022-01-04,1992
2022-01-05,2676
2022-01-06,2750
2022-01-07,6283
2022-01-08,5606
2022-01-09,4383
2022-01-10,4284
2022-01-11,4215
2022-01-12,3939
2022-01-13,3632
2022-01-14,2779
2022-01-15,3229
2022-01-16,2585
2022-01-17,2348
2022-01-18,2306
2022-01-19,2321
2022-01-20,2027
2022-01-21,1876
2022-01-22,1602
2022-01-23,1442
2022-01-24,1860
2022-01-25,1592
2022-01-26,1692
2022-01-27,1561
2022-01-28,1618
2022-01-29,1455
2022-01-30,1503
2022-01-31,1753
2022-02-01,2445
2022-02-02,2067
2022-02-03,1992
2022-02-04,1309
2022-02-05,1154
2022-02-06,1567
2022-02-07,1942
2022-02-08,1864
2022-02-09,1718
2022-02-10,1466
2022-02-11,1387
2022-02-12,1357
2022-02-13,1644
2022-02-14,1921
2022-02-15,1890
2022-02-16,1843
2022-02-17,1346
2022-02-18,1297
2022-02-19,983
2022-02-20,1344
2022-02-21,1644
2022-02-22,1525
2022-02-23,1460
2022-02-24,1410
2022-02-25,1351
2022-02-26,1368
2022-02-27,1781
2022-02-28,2260
2022-03-01,2049
2022-03-02,1796
2022-03-03,1686
2022-03-04,1532
2022-03-05,1466
2022-03-06,1757
2022-03-07,2136
2022-03-08,1859
2022-03-09,1759
2022-03-10,1574
2022-03-11,1492
2022-03-12,1267
2022-03-13,1403
2022-03-14,2154
2022-03-15,2394
2022-03-16,2017
2022-03-17,1618
2022-03-18,1407
2022-03-19,1288
2022-03-20,1696
2022-03-21,2098
2022-03-22,2003
2022-03-23,1726
2022-03-24,1555
2022-03-25,1453
2022-03-26,1362
2022-03-27,1864
2022-03-28,2289
2022-03-29,2090
2022-03-30,1723
2022-03-31,1546
2022-04-01,1424
2022-04-02,1297
2022-04-03,1598
2022-04-04,2047
2022-04-05,1783
2022-04-06,1624
2022-04-07,1455
2022-04-08,1321
