Date,90+
2022-01-01,13
2022-01-02,19
2022-01-03,32
2022-01-04,33
2022-01-05,26
2022-01-06,33
2022-01-07,54
2022-01-08,53
2022-01-09,47
2022-01-10,108
2022-01-11,73
2022-01-12,74
2022-01-13,100
2022-01-14,74
2022-01-15,102
2022-01-16,71
2022-01-17,79
2022-01-18,96
2022-01-19,106
2022-01-20,85
2022-01-21,63
2022-01-22,59
2022-01-23,50
2022-01-24,68
2022-01-25,72
2022-01-26,56
2022-01-27,60
2022-01-28,59
2022-01-29,36
2022-01-30,31
2022-01-31,32
2022-02-01,38
2022-02-02,43
2022-02-03,39
2022-02-04,32
2022-02-05,23
2022-02-06,26
2022-02-07,44
2022-02-08,27
2022-02-09,49
2022-02-10,65
2022-02-11,27
2022-02-12,28
2022-02-13,16
2022-02-14,27
2022-02-15,26
2022-02-16,14
2022-02-17,18
2022-02-18,23
2022-02-19,11
2022-02-20,13
2022-02-21,10
2022-02-22,16
2022-02-23,7
2022-02-24,13
2022-02-25,15
2022-02-26,14
2022-02-27,8
2022-02-28,12
2022-03-01,15
2022-03-02,14
2022-03-03,8
2022-03-04,7
2022-03-05,5
2022-03-06,14
2022-03-07,17
2022-03-08,18
2022-03-09,21
2022-03-10,14
2022-03-11,15
2022-03-12,12
2022-03-13,9
2022-03-14,10
2022-03-15,13
2022-03-16,16
2022-03-17,6
2022-03-18,19
2022-03-19,22
2022-03-20,10
2022-03-21,28
2022-03-22,27
2022-03-23,35
2022-03-24,30
2022-03-25,22
2022-03-26,19
2022-03-27,24
2022-03-28,39
2022-03-29,29
2022-03-30,45
2022-03-31,34
2022-04-01,46
2022-04-02,30
2022-04-03,41
2022-04-04,46
2022-04-05,49
2022-04-06,76
2022-04-07,69
2022-04-08,53
