date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2022-01-01,206,490,1621,874,555,428,225,104,59
2022-01-02,241,744,2254,945,570,463,246,115,46
2022-01-03,331,1253,3882,1552,912,675,332,129,59
2022-01-04,379,1602,4982,2077,1112,848,373,130,71
2022-01-05,380,1686,5382,2208,1298,928,401,159,63
2022-01-06,381,1550,4365,1978,1099,886,413,146,92
2022-01-07,502,1981,5667,2531,1601,1210,503,174,100
2022-01-08,410,1632,4171,2120,1369,1041,529,172,86
2022-01-09,464,1179,2603,1641,1205,890,452,193,102
2022-01-10,562,1690,3730,2263,1619,1225,613,214,101
2022-01-11,708,1748,3773,2483,1864,1401,732,278,154
2022-01-12,752,1655,3297,2407,1949,1564,831,335,147
2022-01-13,879,1695,2849,2431,1993,1523,822,380,197
2022-01-14,929,1689,2523,2379,1952,1487,793,357,172
2022-01-15,906,1651,2296,2252,1841,1443,854,379,217
2022-01-16,781,1172,1629,1759,1522,1102,708,326,171
2022-01-17,953,1513,2107,2110,1736,1431,852,400,173
2022-01-18,1109,1719,2067,2291,2083,1475,894,487,245
2022-01-19,1105,1566,2112,2222,1929,1403,852,423,237
2022-01-20,1014,1438,1815,1832,1599,1239,781,382,257
2022-01-21,1099,1350,1558,1758,1511,1069,695,392,231
2022-01-22,924,1044,1164,1310,1210,880,564,309,140
2022-01-23,645,710,774,1011,829,588,387,200,111
2022-01-24,763,888,1148,1243,1020,747,441,235,157
2022-01-25,910,1207,1568,1640,1353,911,598,300,170
2022-01-26,765,1008,1313,1340,1047,745,499,241,151
2022-01-27,609,736,1095,1074,859,564,402,175,81
2022-01-28,709,902,1165,1235,1055,712,436,235,129
2022-01-29,700,821,1044,1113,899,596,432,205,163
2022-01-30,525,612,736,848,656,394,298,112,70
2022-01-31,556,623,806,867,679,474,271,173,105
2022-02-01,629,904,1161,1086,967,662,419,239,136
2022-02-02,578,794,1059,1010,717,593,339,177,107
2022-02-03,509,631,822,778,586,463,300,153,98
2022-02-04,489,532,657,710,546,418,268,159,87
2022-02-05,441,420,500,540,409,304,215,120,50
2022-02-06,321,293,325,377,303,276,148,95,48
2022-02-07,308,348,435,474,408,299,172,89,88
2022-02-08,470,482,683,696,545,368,246,127,89
2022-02-09,389,423,603,591,433,285,174,98,72
2022-02-10,357,419,471,475,384,266,160,87,47
2022-02-11,413,437,432,466,354,228,156,87,48
2022-02-12,346,395,340,382,294,206,118,64,45
2022-02-13,315,293,225,282,239,133,89,51,29
2022-02-14,394,420,323,400,341,182,126,54,35
2022-02-15,436,547,460,458,364,229,133,93,59
2022-02-16,417,531,367,424,330,209,121,47,42
2022-02-17,370,454,332,368,339,201,101,65,43
2022-02-18,392,449,270,331,320,176,89,35,34
2022-02-19,330,405,224,268,237,150,67,33,22
2022-02-20,251,348,139,219,167,115,54,32,33
2022-02-21,369,507,261,341,276,169,97,42,20
2022-02-22,454,674,349,398,388,189,107,44,41
2022-02-23,348,595,328,358,344,157,93,60,39
2022-02-24,306,397,258,317,241,144,81,40,21
2022-02-25,276,425,218,284,260,126,72,36,26
2022-02-26,218,314,128,176,203,113,53,32,35
2022-02-27,146,196,101,137,146,74,26,15,11
2022-02-28,232,324,156,196,190,105,46,31,24
2022-03-01,240,378,196,248,245,128,52,25,14
2022-03-02,375,560,342,428,394,189,101,38,26
2022-03-03,260,395,218,304,298,156,85,45,33
2022-03-04,217,305,187,245,269,140,64,44,22
2022-03-05,190,259,152,199,226,129,59,41,19
2022-03-06,161,255,106,192,190,104,63,24,16
2022-03-07,223,324,176,253,240,143,56,28,16
2022-03-08,235,383,245,332,287,157,103,36,26
2022-03-09,187,287,252,287,255,120,74,38,17
2022-03-10,199,277,216,261,241,138,75,37,13
2022-03-11,169,271,209,223,221,106,56,60,16
2022-03-12,172,281,157,191,213,110,71,44,24
2022-03-13,164,230,144,157,177,104,54,23,18
2022-03-14,232,442,207,230,273,164,83,41,25
2022-03-15,310,572,268,331,353,222,123,66,36
2022-03-16,254,482,316,347,389,189,99,49,27
2022-03-17,301,461,306,358,373,204,118,61,34
2022-03-18,294,533,302,345,343,225,105,68,37
2022-03-19,264,513,240,306,323,185,105,76,37
2022-03-20,259,467,205,222,281,185,82,34,30
2022-03-21,369,647,332,371,409,243,154,67,46
2022-03-22,514,888,466,575,594,339,195,84,70
2022-03-23,429,705,518,573,572,278,210,90,69
2022-03-24,412,693,447,523,574,349,178,102,68
2022-03-25,408,649,400,512,496,318,176,112,55
2022-03-26,362,531,290,438,469,250,167,88,55
2022-03-27,300,398,232,334,358,192,159,60,37
2022-03-28,381,591,379,455,501,315,190,80,60
2022-03-29,394,627,472,597,528,389,222,124,69
2022-03-30,424,646,547,690,637,407,251,114,86
2022-03-31,324,492,531,620,609,403,251,160,79
2022-04-01,342,468,424,491,535,397,249,104,50
