agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Daily_Recovered,Date
30-39,Female,0,0,0,0,0,1/25/2020
30-39,Male,0,0,0,0,0,1/25/2020
30-39,Female,0,0,0,0,0,1/26/2020
30-39,Male,0,0,0,0,0,1/26/2020
30-39,Female,0,0,0,0,0,1/27/2020
30-39,Male,0,0,0,0,0,1/27/2020
30-39,Female,0,0,0,0,0,1/28/2020
30-39,Male,0,0,0,0,0,1/28/2020
30-39,Female,0,0,0,0,0,1/29/2020
30-39,Male,0,0,0,0,0,1/29/2020
30-39,Female,0,0,0,0,0,1/30/2020
30-39,Male,0,0,0,0,0,1/30/2020
30-39,Female,0,0,0,0,0,1/31/2020
30-39,Male,0,0,0,0,0,1/31/2020
30-39,Female,0,0,0,0,0,2/1/2020
30-39,Male,0,0,0,0,0,2/1/2020
30-39,Female,0,0,0,0,0,2/2/2020
30-39,Male,0,0,0,0,0,2/2/2020
30-39,Female,0,0,0,0,0,2/3/2020
30-39,Male,0,0,0,0,0,2/3/2020
30-39,Female,0,0,0,0,0,2/4/2020
30-39,Male,0,0,0,0,0,2/4/2020
30-39,Female,0,0,0,0,0,2/5/2020
30-39,Male,0,0,0,0,0,2/5/2020
30-39,Female,0,0,0,0,0,2/6/2020
30-39,Male,0,0,0,0,0,2/6/2020
30-39,Female,0,0,0,0,0,2/7/2020
30-39,Male,0,0,0,0,0,2/7/2020
30-39,Female,0,0,0,0,0,2/8/2020
30-39,Male,0,0,0,0,0,2/8/2020
30-39,Female,0,0,0,0,0,2/9/2020
30-39,Male,0,0,0,0,0,2/9/2020
30-39,Female,0,0,0,0,0,2/10/2020
30-39,Male,0,0,0,0,0,2/10/2020
30-39,Female,0,0,0,0,0,2/11/2020
30-39,Male,0,0,0,0,0,2/11/2020
30-39,Female,0,0,0,0,0,2/12/2020
30-39,Male,0,0,0,0,0,2/12/2020
30-39,Female,0,0,0,0,0,2/13/2020
30-39,Male,0,0,0,0,0,2/13/2020
30-39,Female,0,0,0,0,0,2/14/2020
30-39,Male,0,0,0,0,0,2/14/2020
30-39,Female,0,0,0,0,0,2/15/2020
30-39,Male,0,0,0,0,0,2/15/2020
30-39,Female,0,0,0,0,0,2/16/2020
30-39,Male,0,0,0,0,0,2/16/2020
30-39,Female,0,0,0,0,0,2/17/2020
30-39,Male,0,0,0,0,0,2/17/2020
30-39,Female,0,0,0,0,0,2/18/2020
30-39,Male,0,0,0,0,0,2/18/2020
30-39,Female,0,0,0,0,0,2/19/2020
30-39,Male,0,0,0,0,0,2/19/2020
30-39,Female,0,0,0,0,0,2/20/2020
30-39,Male,0,0,0,0,0,2/20/2020
30-39,Female,0,0,0,0,0,2/21/2020
30-39,Male,0,0,0,0,0,2/21/2020
30-39,Female,0,0,0,0,0,2/22/2020
30-39,Male,0,0,0,0,0,2/22/2020
30-39,Female,0,0,0,0,0,2/23/2020
30-39,Male,0,0,0,0,0,2/23/2020
30-39,Female,0,0,0,0,0,2/24/2020
30-39,Male,0,0,0,0,0,2/24/2020
30-39,Female,0,0,0,0,0,2/25/2020
30-39,Male,0,0,0,0,0,2/25/2020
30-39,Female,0,0,0,0,0,2/26/2020
30-39,Male,0,0,0,0,0,2/26/2020
30-39,Female,0,0,0,0,0,2/27/2020
30-39,Female,0,0,0,0,0,2/28/2020
30-39,Female,0,0,0,0,0,2/29/2020
30-39,Female,1,0,1,1,,3/1/2020
30-39,Female,,0,1,,,3/2/2020
30-39,Female,,0,1,,,3/3/2020
30-39,Female,,0,1,,,3/4/2020
30-39,Female,,0,1,,,3/5/2020
30-39,Female,,0,1,,,3/6/2020
30-39,Female,,0,1,,,3/7/2020
30-39,Female,,0,1,,,3/8/2020
30-39,Female,,0,1,,,3/9/2020
30-39,Female,,0,1,,,3/10/2020
30-39,Female,,0,1,,,3/11/2020
30-39,Female,,0,1,,,3/12/2020
30-39,Female,,0,1,,,3/13/2020
30-39,Female,1,0,2,1,,3/14/2020
30-39,Female,1,0,3,1,,3/15/2020
30-39,Female,2,0,4,2,1,3/16/2020
30-39,Female,6,0,10,6,,3/17/2020
30-39,Female,3,0,13,3,,3/18/2020
30-39,Female,1,0,13,1,1,3/19/2020
30-39,Female,4,0,17,4,,3/20/2020
30-39,Female,,0,11,,6,3/21/2020
30-39,Female,3,0,12,3,2,3/22/2020
30-39,Female,3,0,13,3,2,3/23/2020
30-39,Female,4,0,16,4,1,3/24/2020
30-39,Female,5,0,21,5,,3/25/2020
30-39,Female,5,0,23,5,4,3/26/2020
30-39,Female,9,0,30,9,1,3/27/2020
30-39,Female,4,0,34,4,,3/28/2020
30-39,Female,4,0,32,4,6,3/29/2020
30-39,Female,9,0,39,9,3,3/30/2020
30-39,Female,7,0,42,7,4,3/31/2020
30-39,Female,6,0,45,6,3,4/1/2020
30-39,Female,3,0,45,3,3,4/2/2020
30-39,Female,1,0,39,1,7,4/3/2020
30-39,Female,3,0,35,3,7,4/4/2020
30-39,Female,2,0,35,2,2,4/5/2020
30-39,Female,8,0,35,8,8,4/6/2020
30-39,Female,1,0,31,1,4,4/7/2020
30-39,Female,1,0,29,1,3,4/8/2020
30-39,Female,1,0,24,1,6,4/9/2020
30-39,Female,1,0,21,1,4,4/10/2020
30-39,Female,,0,18,,3,4/11/2020
30-39,Female,,0,13,,5,4/12/2020
30-39,Female,,0,11,,2,4/13/2020
30-39,Female,,0,9,,2,4/14/2020
30-39,Female,,0,7,,2,4/15/2020
30-39,Female,,0,5,,2,4/16/2020
30-39,Female,,0,3,,2,4/17/2020
30-39,Female,2,0,4,2,1,4/18/2020
30-39,Female,,0,4,,,4/19/2020
30-39,Female,,0,4,,,4/20/2020
30-39,Female,,0,4,,,4/21/2020
30-39,Female,,0,3,,1,4/22/2020
30-39,Female,,0,3,,,4/23/2020
30-39,Female,,0,2,,1,4/24/2020
30-39,Female,1,0,3,1,,4/25/2020
30-39,Female,,0,3,,,4/26/2020
30-39,Female,,0,3,,,4/27/2020
30-39,Female,1,0,4,1,,4/28/2020
30-39,Female,,0,4,,,4/29/2020
30-39,Female,,0,4,,,4/30/2020
30-39,Female,,0,3,,1,5/1/2020
30-39,Female,,0,3,,,5/2/2020
30-39,Female,2,0,5,2,,5/3/2020
30-39,Female,,0,4,,1,5/4/2020
30-39,Female,,0,4,,,5/5/2020
30-39,Female,1,0,5,1,,5/6/2020
30-39,Female,2,0,7,2,,5/7/2020
30-39,Female,1,0,8,1,,5/8/2020
30-39,Female,,0,8,,,5/9/2020
30-39,Female,,0,8,,,5/10/2020
30-39,Female,1,0,9,1,,5/11/2020
30-39,Female,,0,8,,1,5/12/2020
30-39,Female,1,0,8,1,1,5/13/2020
30-39,Female,,0,7,,1,5/14/2020
30-39,Female,,0,7,,,5/15/2020
30-39,Female,2,0,7,2,2,5/16/2020
30-39,Female,,0,6,,1,5/17/2020
30-39,Female,,0,5,,1,5/18/2020
30-39,Female,1,0,5,1,1,5/19/2020
30-39,Female,,0,5,,,5/20/2020
30-39,Female,,0,4,,1,5/21/2020
30-39,Female,1,0,5,1,,5/22/2020
30-39,Female,,0,5,,,5/23/2020
30-39,Female,1,0,5,1,1,5/24/2020
30-39,Female,,0,4,,1,5/25/2020
30-39,Female,,0,4,,,5/26/2020
30-39,Female,,0,4,,,5/27/2020
30-39,Female,,0,3,,1,5/28/2020
30-39,Female,1,0,3,1,1,5/29/2020
30-39,Female,1,0,4,1,,5/30/2020
30-39,Female,1,0,5,1,,5/31/2020
30-39,Female,3,0,8,3,,6/1/2020
30-39,Female,2,0,10,2,,6/2/2020
30-39,Female,1,0,10,1,1,6/3/2020
30-39,Female,,0,10,,,6/4/2020
30-39,Female,,0,9,,1,6/5/2020
30-39,Female,,0,9,,,6/6/2020
30-39,Female,,0,8,,1,6/7/2020
30-39,Female,,0,7,,1,6/8/2020
30-39,Female,,0,7,,,6/9/2020
30-39,Female,1,0,6,1,2,6/10/2020
30-39,Female,1,0,6,1,1,6/11/2020
30-39,Female,1,0,4,1,3,6/12/2020
30-39,Female,1,0,4,1,1,6/13/2020
30-39,Female,1,0,5,1,,6/14/2020
30-39,Female,2,0,7,2,,6/15/2020
