agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Date,Daily_Recovered
70-79,Female,0,0,0,0,1/25/2020,0
70-79,Male,0,0,0,0,1/25/2020,0
70-79,Female,0,0,0,0,1/26/2020,0
70-79,Male,0,0,0,0,1/26/2020,0
70-79,Female,0,0,0,0,1/27/2020,0
70-79,Male,0,0,0,0,1/27/2020,0
70-79,Female,0,0,0,0,1/28/2020,0
70-79,Male,0,0,0,0,1/28/2020,0
70-79,Female,0,0,0,0,1/29/2020,0
70-79,Male,0,0,0,0,1/29/2020,0
70-79,Female,0,0,0,0,1/30/2020,0
70-79,Male,0,0,0,0,1/30/2020,0
70-79,Female,0,0,0,0,1/31/2020,0
70-79,Male,0,0,0,0,1/31/2020,0
70-79,Female,0,0,0,0,2/1/2020,0
70-79,Male,0,0,0,0,2/1/2020,0
70-79,Female,0,0,0,0,2/2/2020,0
70-79,Male,0,0,0,0,2/2/2020,0
70-79,Female,0,0,0,0,2/3/2020,0
70-79,Male,0,0,0,0,2/3/2020,0
70-79,Female,0,0,0,0,2/4/2020,0
70-79,Male,0,0,0,0,2/4/2020,0
70-79,Female,0,0,0,0,2/5/2020,0
70-79,Male,0,0,0,0,2/5/2020,0
70-79,Female,0,0,0,0,2/6/2020,0
70-79,Male,0,0,0,0,2/6/2020,0
70-79,Female,0,0,0,0,2/7/2020,0
70-79,Male,0,0,0,0,2/7/2020,0
70-79,Female,0,0,0,0,2/8/2020,0
70-79,Male,0,0,0,0,2/8/2020,0
70-79,Female,0,0,0,0,2/9/2020,0
70-79,Male,0,0,0,0,2/9/2020,0
70-79,Female,0,0,0,0,2/10/2020,0
70-79,Male,0,0,0,0,2/10/2020,0
70-79,Female,0,0,0,0,2/11/2020,0
70-79,Male,0,0,0,0,2/11/2020,0
70-79,Female,0,0,0,0,2/12/2020,0
70-79,Male,0,0,0,0,2/12/2020,0
70-79,Female,0,0,0,0,2/13/2020,0
70-79,Male,0,0,0,0,2/13/2020,0
70-79,Female,0,0,0,0,2/14/2020,0
70-79,Male,0,0,0,0,2/14/2020,0
70-79,Female,0,0,0,0,2/15/2020,0
70-79,Male,0,0,0,0,2/15/2020,0
70-79,Female,0,0,0,0,2/16/2020,0
70-79,Male,0,0,0,0,2/16/2020,0
70-79,Female,0,0,0,0,2/17/2020,0
70-79,Male,0,0,0,0,2/17/2020,0
70-79,Female,0,0,0,0,2/18/2020,0
70-79,Male,0,0,0,0,2/18/2020,0
70-79,Female,0,0,0,0,2/19/2020,0
70-79,Male,0,0,0,0,2/19/2020,0
70-79,Female,0,0,0,0,2/20/2020,0
70-79,Male,0,0,0,0,2/20/2020,0
70-79,Female,0,0,0,0,2/21/2020,0
70-79,Male,0,0,0,0,2/21/2020,0
70-79,Female,0,0,0,0,2/22/2020,0
70-79,Male,0,0,0,0,2/22/2020,0
70-79,Female,0,0,0,0,2/23/2020,0
70-79,Male,0,0,0,0,2/23/2020,0
70-79,Female,0,0,0,0,2/24/2020,0
70-79,Male,0,0,0,0,2/24/2020,0
70-79,Female,0,0,0,0,2/25/2020,0
70-79,Male,0,0,0,0,2/25/2020,0
70-79,Female,0,0,0,0,2/26/2020,0
70-79,Male,0,0,0,0,2/26/2020,0
70-79,Female,0,0,0,0,2/27/2020,0
70-79,Female,0,0,0,0,2/28/2020,0
70-79,Female,0,0,0,0,2/29/2020,0
70-79,Female,0,0,0,0,3/1/2020,0
70-79,Female,0,0,0,0,3/2/2020,0
70-79,Female,0,0,0,0,3/3/2020,0
70-79,Female,0,0,0,0,3/4/2020,0
70-79,Female,0,0,0,0,3/5/2020,0
70-79,Female,0,0,0,0,3/6/2020,0
70-79,Female,0,0,0,0,3/7/2020,0
70-79,Female,0,0,0,0,3/8/2020,0
70-79,Female,0,0,0,0,3/9/2020,0
70-79,Female,0,0,0,0,3/10/2020,0
70-79,Female,0,0,0,0,3/11/2020,0
70-79,Female,0,0,0,0,3/12/2020,0
70-79,Female,0,0,0,0,3/13/2020,0
70-79,Female,0,0,0,0,3/14/2020,0
70-79,Female,0,0,0,0,3/15/2020,0
70-79,Female,0,0,0,0,3/16/2020,0
70-79,Female,1,0,1,1,3/17/2020,
70-79,Female,,0,1,,3/18/2020,
70-79,Female,2,0,3,2,3/19/2020,
70-79,Female,1,0,4,1,3/20/2020,
70-79,Female,1,0,4,1,3/21/2020,1
70-79,Female,1,0,5,1,3/22/2020,
70-79,Female,2,0,6,2,3/23/2020,1
70-79,Female,1,0,6,1,3/24/2020,1
70-79,Female,2,0,8,2,3/25/2020,
70-79,Female,,0,8,,3/26/2020,
70-79,Female,6,0,13,6,3/27/2020,1
70-79,Female,5,0,19,5,3/28/2020,
70-79,Female,2,0,21,2,3/29/2020,
70-79,Female,2,0,21,2,3/30/2020,1
70-79,Female,1,0,23,1,3/31/2020,
70-79,Female,3,0,24,3,4/1/2020,1
70-79,Female,2,0,22,2,4/2/2020,3
70-79,Female,2,0,21,2,4/3/2020,3
70-79,Female,1,0,21,1,4/4/2020,
70-79,Female,,0,19,,4/5/2020,2
70-79,Female,,0,17,,4/6/2020,3
70-79,Female,2,0,15,2,4/7/2020,3
70-79,Female,,0,15,,4/8/2020,
70-79,Female,,0,13,,4/9/2020,2
70-79,Female,2,0,12,2,4/10/2020,3
70-79,Female,1,0,11,1,4/11/2020,2
70-79,Female,1,0,11,1,4/12/2020,1
70-79,Female,2,0,13,2,4/13/2020,
70-79,Female,,0,12,,4/14/2020,1
70-79,Female,,0,10,,4/15/2020,2
70-79,Female,1,0,9,1,4/16/2020,2
70-79,Female,1,0,10,1,4/17/2020,
70-79,Female,1,0,11,1,4/18/2020,
70-79,Female,,0,8,,4/19/2020,3
70-79,Female,,0,6,,4/20/2020,2
70-79,Female,,0,6,,4/21/2020,
70-79,Female,,0,5,,4/22/2020,1
70-79,Female,,0,5,,4/23/2020,
70-79,Female,,0,5,,4/24/2020,
70-79,Female,,0,5,,4/25/2020,
70-79,Female,,0,5,,4/26/2020,
70-79,Female,,0,5,,4/27/2020,
70-79,Female,,0,4,,4/28/2020,1
70-79,Female,,0,2,,4/29/2020,2
70-79,Female,,0,2,,4/30/2020,
70-79,Female,1,0,3,1,5/1/2020,
70-79,Female,1,0,3,1,5/2/2020,1
70-79,Female,,0,3,,5/3/2020,
70-79,Female,,0,3,,5/4/2020,
70-79,Female,,0,3,,5/5/2020,
70-79,Female,,0,1,,5/6/2020,2
70-79,Female,,0,1,,5/7/2020,
70-79,Female,,0,1,,5/8/2020,
70-79,Female,,0,1,,5/9/2020,
70-79,Female,,0,1,,5/10/2020,
70-79,Female,1,0,2,1,5/11/2020,
70-79,Female,,0,2,,5/12/2020,
70-79,Female,,0,2,,5/13/2020,
70-79,Female,,0,2,,5/14/2020,
70-79,Female,,0,1,,5/15/2020,1
70-79,Female,,0,1,,5/16/2020,
70-79,Female,,0,,,5/17/2020,1
70-79,Female,0,0,0,0,5/18/2020,0
70-79,Female,0,0,0,0,5/19/2020,0
70-79,Female,0,0,0,0,5/20/2020,0
70-79,Female,0,0,0,0,5/21/2020,0
70-79,Female,0,0,0,0,5/22/2020,0
70-79,Female,0,0,0,0,5/23/2020,0
70-79,Female,0,0,0,0,5/24/2020,0
70-79,Female,1,0,1,1,5/25/2020,
70-79,Female,,0,1,,5/26/2020,
70-79,Female,,0,1,,5/27/2020,
70-79,Female,,0,1,,5/28/2020,
70-79,Female,,0,1,,5/29/2020,
70-79,Female,,0,1,,5/30/2020,
70-79,Female,,0,1,,5/31/2020,
